Orthogroup	Mavium	Mlepra
OG0000756	AAS04807.1	CAC31503.1
OG0000757	AAS04806.1	CAC31504.1
OG0000758	AAS04805.1	CAC31505.1
OG0000760	AAS04787.1	CAC31508.1
OG0000761	AAS04785.1	CAC31510.1
OG0000762	AAS04784.1	CAC31511.1
OG0000763	AAS04783.1	CAC31512.1
OG0000764	AAS04779.1	CAC31515.1
OG0000765	AAS04777.1	CAC31517.1
OG0000766	AAS04776.1	CAC31518.1
OG0000767	AAS04775.1	CAC31519.1
OG0000768	AAS04774.1	CAC31520.1
OG0000769	AAS04773.1	CAC31521.1
OG0000770	AAS04772.1	CAC31522.1
OG0000771	AAS04771.1	CAC31523.1
OG0000772	AAS04770.1	CAC31524.1
OG0000773	AAS04769.1	CAC31525.1
OG0000774	AAS04768.1	CAC31526.1
OG0000775	AAS04767.1	CAC31527.1
OG0000776	AAS04766.1	CAC31528.1
OG0000777	AAS04765.1	CAC31530.1
OG0000778	AAS04764.1	CAC31531.1
OG0000779	AAS04762.1	CAC31532.1
OG0000780	AAS04756.1	CAC31536.1
OG0000781	AAS04754.1	CAC31538.1
OG0000782	AAS04753.1	CAC31539.1
OG0000783	AAS04752.1	CAC31540.1
OG0000784	AAS04746.1	CAC31546.1
OG0000785	AAS04745.1	CAC31547.1
OG0000786	AAS04744.1	CAC31548.1
OG0000787	AAS04742.1	CAC31552.1
OG0000788	AAS04741.1	CAC31553.1
OG0000789	AAS04740.1	CAC31554.1
OG0000790	AAS04739.1	CAC31555.1
OG0000791	AAS04737.1	CAC31556.1
OG0000792	AAS04736.1	CAC31557.1
OG0000793	AAS04735.1	CAC31558.1
OG0000797	AAS03665.1	CAC30704.1
OG0000799	AAS03432.1	CAC30040.1
OG0000800	AAS03433.1	CAC30041.1
OG0000801	AAS03435.1	CAC30043.1
OG0000802	AAS03436.1	CAC30044.1
OG0000803	AAS03437.1	CAC30045.1
OG0000804	AAS03439.1	CAC30048.1
OG0000805	AAS03440.1	CAC30049.1
OG0000806	AAS03441.1	CAC30050.1
OG0000807	AAS03442.1	CAC30051.1
OG0000808	AAS03443.1	CAC30052.1
OG0000809	AAS03447.1	CAC30056.1
OG0000810	AAS03448.1	CAC30058.1
OG0000811	AAS03449.1	CAC30059.1
OG0000812	AAS03450.1	CAC30060.1
OG0000813	AAS03452.1	CAC30062.1
OG0000814	AAS03453.1	CAC30063.1
OG0000815	AAS03454.1	CAC30064.1
OG0000816	AAS03455.1	CAC30065.1
OG0000817	AAS03456.1	CAC30066.1
OG0000818	AAS03457.1	CAC30067.1
OG0000819	AAS03458.1	CAC30068.1
OG0000820	AAS03459.1	CAC30069.1
OG0000821	AAS03463.1	CAC30070.1
OG0000822	AAS03464.1	CAC30071.1
OG0000823	AAS03465.1	CAC30072.1
OG0000824	AAS03466.1	CAC30073.1
OG0000827	AAS06362.1	CAC30077.1
OG0000828	AAS03481.1	CAC30078.1
OG0000829	AAS03482.1	CAC30079.1
OG0000830	AAS03483.1	CAC30080.1
OG0000831	AAS03484.1	CAC30085.1
OG0000833	AAS03491.1	CAC30087.1
OG0000834	AAS03492.1	CAC30088.1
OG0000835	AAS03494.1	CAC30090.1
OG0000836	AAS03495.1	CAC30091.1
OG0000837	AAS03496.1	CAC30092.1
OG0000838	AAS03499.1	CAC30095.1
OG0000839	AAS03500.1	CAC30097.1
OG0000840	AAS03501.1	CAC30098.1
OG0000841	AAS03502.1	CAC30099.1
OG0000842	AAS03503.1	CAC30100.1
OG0000843	AAS03504.1	CAC30101.1
OG0000844	AAS03505.1	CAC30102.1
OG0000845	AAS03506.1	CAC30103.1
OG0000846	AAS03507.1	CAC30104.1
OG0000847	AAS03508.1	CAC30105.1
OG0000848	AAS03509.1	CAC30106.1
OG0000849	AAS03513.1	CAC30771.1
OG0000850	AAS03515.1	CAC30769.1
OG0000852	AAS03518.1	CAC30767.1
OG0000853	AAS03519.1	CAC30766.1
OG0000854	AAS03520.1	CAC30765.1
OG0000855	AAS03521.1	CAC30764.1
OG0000856	AAS03522.1	CAC30763.1
OG0000857	AAS03523.1	CAC30762.1
OG0000858	AAS03526.1	CAC30760.1
OG0000859	AAS03527.1	CAC30759.1
OG0000860	AAS03528.1	CAC30758.1
OG0000861	AAS03529.1	CAC30757.1
OG0000862	AAS03530.1	CAC30756.1
OG0000863	AAS03542.1	CAC30753.1
OG0000866	AAS03563.1	CAC31576.1
OG0000868	AAS03566.1	CAC31579.1
OG0000869	AAS03567.1	CAC31580.1
OG0000870	AAS03568.1	CAC31581.1
OG0000873	AAS03574.1	CAC31588.1
OG0000876	AAS03581.1	CAC31590.1
OG0000878	AAS03589.1	CAC31595.1
OG0000879	AAS03591.1	CAC31597.1
OG0000880	AAS03592.1	CAC31598.1
OG0000881	AAS03593.1	CAC31599.1
OG0000882	AAS03600.1	CAC31601.1
OG0000883	AAS03601.1	CAC31602.1
OG0000884	AAS03602.1	CAC31603.1
OG0000886	AAS03605.1	CAC31605.1
OG0000887	AAS03606.1	CAC31606.1
OG0000888	AAS03608.1	CAC31608.1
OG0000889	AAS03610.1	CAC31638.1
OG0000890	AAS03611.1	CAC31639.1
OG0000891	AAS03612.1	CAC31640.1
OG0000892	AAS03613.1	CAC31641.1
OG0000893	AAS03614.1	CAC31642.1
OG0000895	AAS03616.1	CAC31644.1
OG0000896	AAS03617.1	CAC31645.1
OG0000897	AAS03618.1	CAC31648.1
OG0000898	AAS03620.1	CAC31650.1
OG0000899	AAS03621.1	CAC31651.1
OG0000900	AAS03622.1	CAC31652.1
OG0000901	AAS03623.1	CAC31653.1
OG0000902	AAS03624.1	CAC31654.1
OG0000903	AAS03625.1	CAC31655.1
OG0000904	AAS03627.1	CAC31658.1
OG0000905	AAS03628.1	CAC31659.1
OG0000906	AAS03635.1	CAC31857.1
OG0000907	AAS03636.1	CAC31667.1
OG0000909	AAS03639.1	CAC31762.1
OG0000910	AAS03642.1	CAC31763.1
OG0000911	AAS03643.1	CAC31764.1
OG0000912	AAS03652.1	CAC31768.1
OG0000913	AAS03656.1	CAC31771.1
OG0000914	AAS03658.1	CAC31773.1
OG0000915	AAS03668.1	CAC31774.1
OG0000916	AAS03669.1	CAC31775.1
OG0000917	AAS03670.1	CAC31776.1
OG0000918	AAS03671.1	CAC31777.1
OG0000919	AAS03672.1	CAC31778.1
OG0000920	AAS03674.1	CAC31780.1
OG0000922	AAS03676.1	CAC30352.1
OG0000923	AAS03677.1	CAC30353.1
OG0000924	AAS03678.1	CAC30357.1
OG0000925	AAS03679.1	CAC30358.1
OG0000926	AAS03680.1	CAC30359.1
OG0000927	AAS03681.1	CAC30360.1
OG0000928	AAS03682.1	CAC30361.1
OG0000929	AAS03683.1	CAC30362.1
OG0000930	AAS03684.1	CAC30363.1
OG0000931	AAS03685.1	CAC30364.1
OG0000932	AAS03706.1	CAC31727.1
OG0000933	AAS03707.1	CAC31728.1
OG0000936	AAS03712.1	CAC31732.1
OG0000937	AAS03713.1	CAC31733.1
OG0000938	AAS03717.1	CAC31738.1
OG0000939	AAS03718.1	CAC31739.1
OG0000940	AAS03719.1	CAC31740.1
OG0000941	AAS03720.1	CAC31741.1
OG0000942	AAS03721.1	CAC31742.1
OG0000943	AAS03722.1	CAC31743.1
OG0000944	AAS03723.1	CAC31744.1
OG0000946	AAS03728.1	CAC31749.1
OG0000947	AAS03729.1	CAC31750.1
OG0000948	AAS03730.1	CAC31751.1
OG0000949	AAS03731.1	CAC31752.1
OG0000950	AAS03732.1	CAC31753.1
OG0000953	AAS03811.1	CAC31761.1
OG0000954	AAS03818.1	CAC30495.1
OG0000955	AAS03819.1	CAC30494.1
OG0000956	AAS03826.1	CAC30491.1
OG0000957	AAS03827.1	CAC30490.1
OG0000958	AAS03828.1	CAC30489.1
OG0000959	AAS03829.1	CAC30488.1
OG0000960	AAS03830.1	CAC30487.1
OG0000965	AAS03848.1	CAC31039.1
OG0000966	AAS03851.1	CAC31037.1
OG0000967	AAS03852.1	CAC31036.1
OG0000968	AAS03856.1	CAC31032.1
OG0000969	AAS03857.1	CAC31031.1
OG0000970	AAS03858.1	CAC31030.1
OG0000971	AAS03859.1	CAC31029.1
OG0000972	AAS03860.1	CAC31028.1
OG0000973	AAS03862.1	CAC31027.1
OG0000974	AAS03865.1	CAC31025.1
OG0000975	AAS03866.1	CAC31024.1
OG0000976	AAS03873.1	CAC31021.1
OG0000977	AAS03875.1	CAC31019.1
OG0000978	AAS03876.1	CAC31018.1
OG0000979	AAS03881.1	CAC31014.1
OG0000980	AAS03886.1	CAC31010.1
OG0000981	AAS03887.1	CAC31009.1
OG0000982	AAS03888.1	CAC31008.1
OG0000985	AAS03900.1	CAC31003.1
OG0000986	AAS03902.1	CAC31001.1
OG0000987	AAS03912.1	CAC30993.1
OG0000989	AAS03924.1	CAC30985.1
OG0000991	AAS03939.1	CAC30975.1
OG0000992	AAS03942.1	CAC30970.1
OG0000993	AAS03945.1	CAC30967.1
OG0000994	AAS03946.1	CAC30966.1
OG0000995	AAS03960.1	CAC30940.1
OG0000996	AAS03963.1	CAC30938.1
OG0000999	AAS04083.1	CAC30375.1
OG0001000	AAS04084.1	CAC30376.1
OG0001001	AAS04085.1	CAC30377.1
OG0001002	AAS04086.1	CAC30378.1
OG0001003	AAS04115.1	CAC30389.1
OG0001005	AAS04120.1	CAC30394.1
OG0001006	AAS02804.1, AAS06324.1	CAC29843.1
OG0001007	AAS04121.1	CAC30396.1
OG0001008	AAS04131.1	CAC30398.1
OG0001009	AAS04143.1	CAC31715.1
OG0001010	AAS04145.1	CAC31714.1
OG0001011	AAS04146.1	CAC31713.1
OG0001012	AAS04147.1	CAC31712.1
OG0001013	AAS04148.1	CAC31711.1
OG0001014	AAS04149.1	CAC31710.1
OG0001015	AAS04150.1	CAC31709.1
OG0001017	AAS04151.1	CAC31704.1
OG0001018	AAS04152.1	CAC31703.1
OG0001019	AAS04153.1	CAC31702.1
OG0001020	AAS04154.1	CAC31701.1
OG0001021	AAS04157.1	CAC31696.1
OG0001022	AAS04158.1	CAC31695.1
OG0001023	AAS04159.1	CAC31694.1
OG0001024	AAS04160.1	CAC31693.1
OG0001025	AAS04163.1	CAC31691.1
OG0001026	AAS04164.1	CAC31690.1
OG0001027	AAS04177.1	CAC31687.1
OG0001028	AAS04193.1	CAC31683.1
OG0001029	AAS04195.1	CAC31681.1
OG0001030	AAS04196.1	CAC31680.1
OG0001031	AAS04197.1	CAC31679.1
OG0001032	AAS03892.1	CAC31678.1
OG0001033	AAS04200.1	CAC31674.1
OG0001034	AAS04202.1	CAC31670.1
OG0001035	AAS04203.1	CAC31669.1
OG0001036	AAS04205.1	CAC31304.1
OG0001037	AAS04207.1	CAC31302.1
OG0001038	AAS04208.1	CAC31301.1
OG0001039	AAS04209.1	CAC31300.1
OG0001040	AAS04210.1	CAC31299.1
OG0001041	AAS04211.1	CAC31298.1
OG0001042	AAS04213.1	CAC31296.1
OG0001043	AAS04214.1	CAC31295.1
OG0001044	AAS04216.1	CAC31293.1
OG0001045	AAS04217.1	CAC31292.1
OG0001046	AAS04218.1	CAC31291.1
OG0001047	AAS04219.1	CAC31290.1
OG0001048	AAS04220.1	CAC31289.1
OG0001049	AAS04221.1	CAC31288.1
OG0001050	AAS04222.1	CAC31287.1
OG0001051	AAS04223.1	CAC31286.1
OG0001052	AAS04224.1	CAC31285.1
OG0001053	AAS04225.1	CAC31284.1
OG0001054	AAS04226.1	CAC31283.1
OG0001055	AAS04227.1	CAC31282.1
OG0001056	AAS04230.1	CAC31279.1
OG0001057	AAS04231.1	CAC31278.1
OG0001058	AAS04233.1	CAC31277.1
OG0001059	AAS04234.1	CAC31276.1
OG0001060	AAS04236.1	CAC31274.1
OG0001061	AAS04237.1	CAC31273.1
OG0001062	AAS04238.1	CAC31272.1
OG0001063	AAS04239.1	CAC31271.1
OG0001064	AAS04240.1	CAC31270.1
OG0001065	AAS04241.1	CAC31269.1
OG0001066	AAS04243.1	CAC31267.1
OG0001067	AAS04245.1	CAC31266.1
OG0001068	AAS04250.1	CAC31262.1
OG0001069	AAS04252.1	CAC31260.1
OG0001070	AAS04254.1	CAC31259.1
OG0001071	AAS04255.1	CAC31258.1
OG0001072	AAS04256.1	CAC31257.1
OG0001073	AAS04257.1	CAC31256.1
OG0001074	AAS04259.1	CAC31254.1
OG0001075	AAS04260.1	CAC31253.1
OG0001076	AAS04261.1	CAC31252.1
OG0001077	AAS04263.1	CAC31250.1
OG0001078	AAS04265.1	CAC31249.1
OG0001079	AAS04267.1	CAC31247.1
OG0001080	AAS04268.1	CAC31246.1
OG0001081	AAS04270.1	CAC31245.1
OG0001082	AAS04272.1	CAC31243.1
OG0001083	AAS04273.1	CAC31242.1
OG0001084	AAS04275.1	CAC31240.1
OG0001085	AAS04276.1	CAC31239.1
OG0001086	AAS04277.1	CAC31238.1
OG0001087	AAS04279.1	CAC31306.1
OG0001088	AAS04282.1	CAC30581.1
OG0001089	AAS04283.1	CAC30582.1
OG0001090	AAS04284.1	CAC30583.1
OG0001091	AAS04285.1	CAC30584.1
OG0001092	AAS04287.1	CAC30586.1
OG0001093	AAS04297.1	CAC30588.1
OG0001094	AAS04298.1	CAC30589.1
OG0001095	AAS04299.1	CAC30590.1
OG0001096	AAS04303.1	CAC30595.1
OG0001097	AAS04309.1	CAC30600.1
OG0001098	AAS04311.1	CAC30602.1
OG0001099	AAS04313.1	CAC30604.1
OG0001100	AAS04314.1	CAC30605.1
OG0001101	AAS04317.1	CAC30608.1
OG0001102	AAS04323.1	CAC30735.1
OG0001103	AAS04324.1	CAC30736.1
OG0001104	AAS04325.1	CAC30737.1
OG0001107	AAS04372.1	CAC30747.1
OG0001108	AAS04407.1	CAC30721.1
OG0001109	AAS04408.1	CAC30722.1
OG0001110	AAS04409.1	CAC30723.1
OG0001111	AAS04414.1	CAC31230.1
OG0001112	AAS04415.1	CAC31229.1
OG0001113	AAS04440.1	CAC30349.1
OG0001114	AAS04441.1	CAC30348.1
OG0001115	AAS04446.1	CAC30344.1
OG0001116	AAS04447.1	CAC30343.1
OG0001117	AAS04449.1	CAC30341.1
OG0001118	AAS04454.1	CAC30336.1
OG0001119	AAS04455.1	CAC30335.1
OG0001120	AAS04458.1	CAC30142.1
OG0001121	AAS04459.1	CAC30141.1
OG0001122	AAS04462.1	CAC30139.1
OG0001123	AAS04476.1	CAC30136.1
OG0001124	AAS04477.1	CAC30135.1
OG0001125	AAS04478.1	CAC30134.1
OG0001126	AAS04479.1	CAC30133.1
OG0001127	AAS04480.1	CAC30132.1
OG0001132	AAS04530.1	CAC30123.1
OG0001133	AAS04531.1	CAC30122.1
OG0001135	AAS04534.1	CAC30119.1
OG0001136	AAS04538.1	CAC30115.1
OG0001137	AAS04539.1	CAC30114.1
OG0001138	AAS04540.1	CAC30113.1
OG0001139	AAS04541.1	CAC30112.1
OG0001140	AAS04542.1	CAC30111.1
OG0001141	AAS04559.1	CAC30402.1
OG0001142	AAS04560.1	CAC30403.1
OG0001143	AAS04561.1	CAC30404.1
OG0001144	AAS04564.1	CAC30408.1
OG0001145	AAS03906.1	CAC30997.1
OG0001148	AAS04575.1	CAC30413.1
OG0001149	AAS04580.1	CAC30414.1
OG0001150	AAS04581.1	CAC30415.1
OG0001151	AAS04582.1	CAC30416.1
OG0001152	AAS04583.1	CAC30417.1
OG0001153	AAS04584.1	CAC30418.1
OG0001154	AAS04585.1	CAC30419.1
OG0001155	AAS04586.1	CAC30420.1
OG0001156	AAS04587.1	CAC30421.1
OG0001157	AAS04588.1	CAC30422.1
OG0001158	AAS04595.1	CAC30427.1
OG0001159	AAS04596.1	CAC30428.1
OG0001160	AAS04597.1	CAC30429.1
OG0001161	AAS04598.1	CAC30430.1
OG0001162	AAS04599.1	CAC30431.1
OG0001163	AAS04602.1	CAC30434.1
OG0001164	AAS04603.1	CAC30435.1
OG0001165	AAS04604.1	CAC30436.1
OG0001166	AAS04605.1	CAC31636.1
OG0001167	AAS04608.1	CAC31634.1
OG0001168	AAS04611.1	CAC31630.1
OG0001169	AAS04612.1	CAC31629.1
OG0001170	AAS04615.1	CAC31627.1
OG0001171	AAS04616.1	CAC31626.1
OG0001172	AAS04617.1	CAC31625.1
OG0001176	AAS04633.1	CAC29939.1
OG0001177	AAS04634.1	CAC29938.1
OG0001178	AAS04635.1	CAC29937.1
OG0001179	AAS04637.1	CAC29935.1
OG0001180	AAS04645.1	CAC29933.1
OG0001181	AAS04646.1	CAC29932.1
OG0001182	AAS04647.1	CAC31574.1
OG0001183	AAS04648.1	CAC31573.1
OG0001184	AAS04649.1	CAC31572.1
OG0001185	AAS03417.1	CAC30032.1
OG0001186	AAS03415.1	CAC30031.1
OG0001187	AAS03414.1	CAC30030.1
OG0001188	AAS03413.1	CAC30029.1
OG0001189	AAS03412.1	CAC30028.1
OG0001190	AAS03411.1	CAC30027.1
OG0001191	AAS03410.1	CAC30026.1
OG0001192	AAS03409.1	CAC30025.1
OG0001193	AAS03408.1	CAC30024.1
OG0001194	AAS03397.1	CAC30023.1
OG0001195	AAS03396.1	CAC30022.1
OG0001196	AAS03395.1	CAC30021.1
OG0001197	AAS03394.1	CAC30020.1
OG0001198	AAS03389.1	CAC30018.1
OG0001200	AAS03387.1	CAC32211.1
OG0001201	AAS03385.1	CAC30016.1
OG0001203	AAS03380.1	CAC30009.1
OG0001206	AAS03369.1	CAC30002.1
OG0001207	AAS03368.1	CAC30001.1
OG0001208	AAS03364.1	CAC29999.1
OG0001209	AAS03362.1	CAC29997.1
OG0001210	AAS03361.1	CAC29996.1
OG0001211	AAS03360.1	CAC29995.1
OG0001212	AAS03359.1	CAC29994.1
OG0001213	AAS03358.1	CAC29993.1
OG0001214	AAS03357.1	CAC29992.1
OG0001215	AAS03355.1	CAC29991.1
OG0001216	AAS03354.1	CAC29990.1
OG0001217	AAS03353.1	CAC29989.1
OG0001218	AAS03347.1	CAC29983.1
OG0001219	AAS05025.1	CAC29982.1
OG0001221	AAS05027.1	CAC29958.1
OG0001222	AAS05028.1	CAC29959.1
OG0001223	AAS05029.1	CAC29960.1
OG0001224	AAS05030.1	CAC29961.1
OG0001225	AAS05031.1	CAC29962.1
OG0001226	AAS05032.1	CAC29963.1
OG0001227	AAS05033.1	CAC29964.1
OG0001228	AAS05057.1	CAC29975.1
OG0001229	AAS05109.1	CAC31720.1
OG0001230	AAS05110.1	CAC31719.1
OG0001231	AAS05114.1	CAC31426.1
OG0001232	AAS05115.1	CAC31425.1
OG0001233	AAS05116.1	CAC31424.1
OG0001234	AAS05118.1	CAC31422.1
OG0001235	AAS05119.1	CAC31421.1
OG0001236	AAS05121.1	CAC31418.1
OG0001237	AAS05129.1	CAC31411.1
OG0001238	AAS05130.1	CAC31410.1
OG0001239	AAS05131.1	CAC31409.1
OG0001240	AAS05132.1	CAC31408.1
OG0001241	AAS05134.1	CAC31406.1
OG0001242	AAS05135.1	CAC31405.1
OG0001243	AAS05136.1	CAC31404.1
OG0001244	AAS05137.1	CAC31403.1
OG0001245	AAS05140.1	CAC31398.1
OG0001246	AAS05141.1	CAC31397.1
OG0001247	AAS05142.1	CAC31396.1
OG0001248	AAS05143.1	CAC31395.1
OG0001249	AAS05148.1	CAC31390.1
OG0001250	AAS05150.1	CAC31387.1
OG0001251	AAS05151.1	CAC31386.1
OG0001252	AAS05152.1	CAC31385.1
OG0001253	AAS05153.1	CAC31384.1
OG0001254	AAS05154.1	CAC31383.1
OG0001256	AAS05156.1	CAC31378.1
OG0001257	AAS05157.1	CAC31377.1
OG0001258	AAS05158.1	CAC31376.1
OG0001259	AAS05159.1	CAC31375.1
OG0001260	AAS05162.1	CAC31371.1
OG0001261	AAS05163.1	CAC31370.1
OG0001262	AAS05164.1	CAC31369.1
OG0001263	AAS05165.1	CAC31368.1
OG0001264	AAS05167.1	CAC31367.1
OG0001265	AAS05168.1	CAC31366.1
OG0001266	AAS05169.1	CAC31365.1
OG0001267	AAS05174.1	CAC31360.1
OG0001268	AAS05175.1	CAC31359.1
OG0001269	AAS05180.1	CAC30463.1
OG0001270	AAS05181.1	CAC30464.1
OG0001271	AAS05182.1	CAC30465.1
OG0001272	AAS05185.1	CAC30469.1
OG0001273	AAS05186.1	CAC30470.1
OG0001274	AAS05193.1	CAC30476.1
OG0001275	AAS05194.1	CAC30477.1
OG0001278	AAS05207.1	CAC31236.1
OG0001279	AAS05208.1	CAC31235.1
OG0001280	AAS05209.1	CAC31234.1
OG0001281	AAS05210.1	CAC31233.1
OG0001282	AAS05215.1	CAC30497.1
OG0001283	AAS05216.1	CAC30498.1
OG0001284	AAS05217.1	CAC30499.1
OG0001285	AAS05223.1	CAC30506.1
OG0001286	AAS05224.1	CAC30507.1
OG0001287	AAS05226.1	CAC30509.1
OG0001288	AAS05228.1	CAC30511.1
OG0001289	AAS05229.1	CAC30512.1
OG0001291	AAS05247.1	CAC30524.1
OG0001292	AAS05251.1	CAC30527.1
OG0001293	AAS05253.1	CAC30528.1
OG0001294	AAS05255.1	CAC30532.1
OG0001295	AAS05256.1	CAC30533.1
OG0001296	AAS05257.1	CAC30534.1
OG0001297	AAS05261.1	CAC30540.1
OG0001298	AAS05262.1	CAC30541.1
OG0001299	AAS05263.1	CAC30542.1
OG0001300	AAS05271.1	CAC30547.1
OG0001301	AAS05272.1	CAC30548.1
OG0001302	AAS05273.1	CAC30549.1
OG0001303	AAS05275.1	CAC30551.1
OG0001306	AAS05282.1	CAC30558.1
OG0001307	AAS05286.1	CAC30561.1
OG0001308	AAS05287.1	CAC30562.1
OG0001309	AAS05288.1	CAC30563.1
OG0001310	AAS05289.1	CAC30564.1
OG0001311	AAS05291.1	CAC30566.1
OG0001312	AAS05292.1	CAC30567.1
OG0001313	AAS05293.1	CAC30568.1
OG0001314	AAS05294.1	CAC30569.1
OG0001317	AAS05300.1	CAC30573.1
OG0001318	AAS05302.1	CAC30575.1
OG0001320	AAS05306.1	CAC30579.1
OG0001321	AAS05307.1	CAC30580.1
OG0001322	AAS05311.1	CAC30611.1
OG0001323	AAS05312.1	CAC30612.1
OG0001324	AAS05313.1	CAC30613.1
OG0001325	AAS05314.1	CAC30614.1
OG0001326	AAS03555.1	CAC31868.1
OG0001327	AAS02376.1	CAC29639.1
OG0001328	AAS05550.1	CAC30616.1
OG0001329	AAS05551.1	CAC30617.1
OG0001330	AAS05552.1	CAC30619.1
OG0001331	AAS05553.1	CAC30620.1
OG0001332	AAS05557.1	CAC30624.1
OG0001333	AAS05564.1	CAC30628.1
OG0001334	AAS05565.1	CAC30629.1
OG0001335	AAS05566.1	CAC30630.1
OG0001336	AAS05569.1	CAC30633.1
OG0001337	AAS05570.1	CAC30634.1
OG0001338	AAS05571.1	CAC30635.1
OG0001339	AAS05572.1	CAC30636.1
OG0001341	AAS05577.1	CAC30641.1
OG0001342	AAS05578.1	CAC30642.1
OG0001343	AAS05584.1	CAC30647.1
OG0001344	AAS05585.1	CAC30648.1
OG0001345	AAS05588.1	CAC30651.1
OG0001346	AAS05589.1	CAC30652.1
OG0001347	AAS05590.1	CAC30653.1
OG0001348	AAS05592.1	CAC30654.1
OG0001349	AAS05593.1	CAC30655.1
OG0001350	AAS05594.1	CAC30656.1
OG0001351	AAS05595.1	CAC30657.1
OG0001352	AAS05603.1	CAC30659.1
OG0001353	AAS05605.1	CAC30660.1
OG0001354	AAS05606.1	CAC30661.1
OG0001355	AAS05608.1	CAC30664.1
OG0001356	AAS05609.1	CAC30665.1
OG0001357	AAS05610.1	CAC30666.1
OG0001358	AAS05611.1	CAC30667.1
OG0001359	AAS05612.1	CAC30668.1
OG0001360	AAS05630.1	CAC30672.1
OG0001361	AAS05631.1	CAC30673.1
OG0001362	AAS05634.1	CAC30676.1
OG0001363	AAS05637.1	CAC30679.1
OG0001364	AAS05638.1	CAC30680.1
OG0001365	AAS05639.1	CAC30681.1
OG0001366	AAS05640.1	CAC30682.1
OG0001367	AAS05647.1	CAC30686.1
OG0001368	AAS05648.1	CAC30687.1
OG0001369	AAS05649.1	CAC30688.1
OG0001370	AAS05650.1	CAC30689.1
OG0001371	AAS05655.1	CAC30693.1
OG0001374	AAS05718.1	CAC30180.1
OG0001375	AAS05719.1	CAC30179.1
OG0001376	AAS05723.1	CAC30176.1
OG0001377	AAS05724.1	CAC30175.1
OG0001380	AAS05735.1	CAC30171.1
OG0001381	AAS05736.1	CAC30170.1
OG0001382	AAS05737.1	CAC30169.1
OG0001389	AAS05842.1	CAC30152.1
OG0001390	AAS05843.1	CAC30151.1
OG0001391	AAS05845.1	CAC30149.1
OG0001392	AAS05846.1	CAC30148.1
OG0001393	AAS05847.1	CAC30146.1
OG0001394	AAS05855.1	CAC30328.1
OG0001395	AAS05856.1	CAC30327.1
OG0001396	AAS05857.1	CAC30326.1
OG0001397	AAS05858.1	CAC30325.1
OG0001398	AAS05859.1	CAC30324.1
OG0001399	AAS05860.1	CAC30323.1
OG0001400	AAS05863.1	CAC30320.1
OG0001401	AAS05866.1	CAC30318.1
OG0001402	AAS05868.1	CAC30316.1
OG0001403	AAS05870.1	CAC30314.1
OG0001404	AAS05871.1	CAC30313.1
OG0001405	AAS05872.1	CAC30312.1
OG0001406	AAS05883.1	CAC30302.1
OG0001407	AAS05884.1	CAC30301.1
OG0001408	AAS05885.1	CAC30300.1
OG0001410	AAS05899.1	CAC30291.1
OG0001411	AAS05900.1	CAC30290.1
OG0001412	AAS05904.1	CAC30288.1
OG0001413	AAS05905.1	CAC30287.1
OG0001414	AAS05906.1	CAC30285.1
OG0001415	AAS05908.1	CAC30284.1
OG0001416	AAS05909.1	CAC30283.1
OG0001417	AAS05910.1	CAC30282.1
OG0001418	AAS05911.1	CAC30281.1
OG0001419	AAS05912.1	CAC30280.1
OG0001420	AAS05917.1	CAC30274.1
OG0001421	AAS05918.1	CAC30273.1
OG0001422	AAS05919.1	CAC30272.1
OG0001423	AAS05921.1	CAC30270.1
OG0001424	AAS05922.1	CAC30269.1
OG0001425	AAS05924.1	CAC30268.1
OG0001426	AAS05925.1	CAC30267.1
OG0001427	AAS05926.1	CAC30265.1
OG0001428	AAS05928.1	CAC30262.1
OG0001429	AAS05929.1	CAC30261.1
OG0001430	AAS05930.1	CAC30260.1
OG0001431	AAS05931.1	CAC30259.1
OG0001432	AAS05933.1	CAC30257.1
OG0001433	AAS05942.1	CAC30246.1
OG0001434	AAS05943.1	CAC30245.1
OG0001435	AAS05944.1	CAC30244.1
OG0001436	AAS05945.1	CAC30243.1
OG0001437	AAS05946.1	CAC30242.1
OG0001438	AAS05947.1	CAC30241.1
OG0001439	AAS05949.1	CAC30240.1
OG0001440	AAS05951.1	CAC30238.1
OG0001441	AAS05952.1	CAC30237.1
OG0001444	AAS05964.1	CAC30226.1
OG0001445	AAS05967.1	CAC30224.1
OG0001449	AAS05993.1	CAC30206.1
OG0001450	AAS05994.1	CAC30205.1
OG0001451	AAS05998.1	CAC30200.1
OG0001453	AAS03999.1, AAS06002.1	CAC30196.1
OG0001454	AAS06003.1	CAC30195.1
OG0001455	AAS06008.1	CAC30191.1
OG0001457	AAS06011.1	CAC30185.1
OG0001458	AAS06013.1	CAC30183.1
OG0001459	AAS06024.1	CAC29927.1
OG0001460	AAS06028.1	CAC29922.1
OG0001462	AAS06039.1	CAC29903.1
OG0001463	AAS06041.1	CAC29901.1
OG0001464	AAS06042.1	CAC29900.1
OG0001465	AAS06830.1	CAC29897.1
OG0001466	AAS06829.1	CAC29896.1
OG0001467	AAS06828.1	CAC29895.1
OG0001468	AAS06827.1	CAC29894.1
OG0001469	AAS06824.1	CAC29891.1
OG0001470	AAS06823.1	CAC29890.1
OG0001471	AAS06814.1	CAC29888.1
OG0001472	AAS06813.1	CAC29887.1
OG0001473	AAS06811.1	CAC29886.1
