HOG	OG	Gene Tree Parent Clade	Mavium	Mafric	Mlepra	Mbovis	Mmicro
N2.HOG0000986	OG0000734	n0		CCC26328.1		ALV12923.1	AMC58810.1
N2.HOG0000987	OG0000735	n0		CCC26329.1		ALV10410.1	AMC58811.1
N2.HOG0000988	OG0000736	n0		CCC26330.1		ALV10411.1	AMC58812.1
N2.HOG0000989	OG0000737	n0		CCC26331.1		ALV10412.1	AMC58814.1
N2.HOG0000990	OG0000738	n0		CCC26335.1		ALV10416.1	AMC58819.1
N2.HOG0000991	OG0000739	n0		CCC26339.1		ALV10420.1	AMC58823.1
N2.HOG0000992	OG0000740	n0		CCC26340.1		ALV10421.1	AMC58824.1
N2.HOG0000993	OG0000741	n0		CCC26342.1		ALV10423.1	AMC58826.1
N2.HOG0000994	OG0000742	n0		CCC26343.1		ALV10424.1	AMC58827.1
N2.HOG0000995	OG0000743	n0		CCC26345.1		ALV10426.1	AMC58829.1
N2.HOG0000996	OG0000744	n0		CCC26348.1			AMC58833.1, AMC58832.1
N2.HOG0000997	OG0000745	n0		CCC26350.1		ALV10429.1	AMC58835.1
N2.HOG0000998	OG0000746	n0		CCC26354.1		ALV10431.1	AMC58839.1
N2.HOG0000999	OG0000747	n0		CCC26365.1		ALV10439.1	AMC58851.1
N2.HOG0001000	OG0000748	n0		CCC26366.1		ALV10440.1	AMC58853.1
N2.HOG0001001	OG0000749	n0		CCC26367.1		ALV12926.1	AMC58854.1
N2.HOG0001002	OG0000750	n0		CCC26368.1		ALV10441.1	AMC58855.1
N2.HOG0001003	OG0000751	n0		CCC26369.1		ALV10442.1	AMC58856.1
N2.HOG0001004	OG0000752	n0		CCC26370.1		ALV10443.1	AMC58857.1
N2.HOG0001005	OG0000753	n0		CCC26371.1		ALV10444.1	AMC58858.1
N2.HOG0001006	OG0000754	n0		CCC26372.1		ALV12927.1	AMC58859.1
N2.HOG0001007	OG0000755	n0		CCC26373.1		ALV10445.1	AMC58860.1
N2.HOG0001008	OG0000756	n0		CCC26374.1		ALV10446.1	AMC58861.1
N2.HOG0001009	OG0000757	n0		CCC26375.1		ALV10447.1	AMC58862.1
N2.HOG0001010	OG0000758	n0		CCC26376.1		ALV10448.1	AMC58863.1
N2.HOG0001011	OG0000759	n0		CCC26379.1		ALV10450.1	AMC58866.1
N2.HOG0001012	OG0000760	n0		CCC26386.1		ALV10457.1	AMC58873.1
N2.HOG0001013	OG0000761	n0		CCC26388.1		ALV10459.1	AMC58875.1
N2.HOG0001014	OG0000762	n0		CCC26389.1		ALV10460.1	AMC58876.1
N2.HOG0001015	OG0000763	n0		CCC26390.1		ALV10462.1	AMC58878.1
N2.HOG0001016	OG0000764	n0		CCC26393.1		ALV10466.1	AMC58881.1
N2.HOG0001017	OG0000765	n0		CCC26395.1		ALV10467.1	AMC58884.1
N2.HOG0001018	OG0000766	n0		CCC26396.1		ALV12930.1	AMC58885.1
N2.HOG0001019	OG0000767	n0		CCC26397.1		ALV10468.1	AMC58886.1
N2.HOG0001020	OG0000768	n0		CCC26398.1		ALV10469.1	AMC58887.1
N2.HOG0001021	OG0000769	n0		CCC26399.1		ALV10470.1	AMC58888.1
N2.HOG0001022	OG0000770	n0		CCC26400.1		ALV10471.1	AMC58889.1
N2.HOG0001023	OG0000771	n0		CCC26401.1		ALV10472.1	AMC58890.1
N2.HOG0001024	OG0000772	n0		CCC26402.1		ALV10473.1	AMC58891.1
N2.HOG0001025	OG0000773	n0		CCC26403.1		ALV10474.1	AMC58892.1
N2.HOG0001026	OG0000774	n0		CCC26404.1		ALV10475.1	AMC58893.1
N2.HOG0001027	OG0000775	n0		CCC26405.1		ALV10476.1	AMC58894.1
N2.HOG0001028	OG0000776	n0		CCC26406.1		ALV10477.1	AMC58895.1
N2.HOG0001029	OG0000777	n0		CCC26408.1		ALV10478.1	AMC58898.1
N2.HOG0001030	OG0000778	n0		CCC26409.1		ALV10479.1	AMC58899.1
N2.HOG0001031	OG0000779	n0		CCC26410.1		ALV10480.1	AMC58900.1
N2.HOG0001032	OG0000780	n0		CCC26416.1		ALV10485.1	AMC58906.1
N2.HOG0001033	OG0000781	n0		CCC26418.1		ALV10487.1	AMC58908.1
N2.HOG0001034	OG0000782	n0		CCC26419.1		ALV10488.1	AMC58909.1
N2.HOG0001035	OG0000783	n0		CCC26420.1		ALV10489.1	AMC58910.1
N2.HOG0001036	OG0000784	n0		CCC26427.1		ALV10495.1	AMC58917.1
N2.HOG0001037	OG0000785	n0		CCC26428.1		ALV10496.1	AMC58918.1
N2.HOG0001038	OG0000786	n0		CCC26429.1		ALV10497.1	AMC58919.1
N2.HOG0001039	OG0000787	n0		CCC26433.1		ALV10501.1	AMC58923.1
N2.HOG0001040	OG0000788	n0		CCC26434.1		ALV10502.1	AMC58924.1
N2.HOG0001041	OG0000789	n0		CCC26435.1		ALV10503.1	AMC58925.1
N2.HOG0001042	OG0000790	n0		CCC26436.1		ALV10504.1	AMC58926.1
N2.HOG0001043	OG0000791	n0		CCC26437.1		ALV12933.1	AMC58927.1
N2.HOG0001044	OG0000792	n0		CCC26438.1		ALV10505.1	AMC58928.1
N2.HOG0001045	OG0000793	n0		CCC26439.1		ALV10506.1	AMC58929.1
N2.HOG0001046	OG0000794	n0		CCC26440.1		ALV10507.1	AMC58930.1
N2.HOG0001047	OG0000795	n0		CCC26441.1		ALV10508.1	AMC58931.1
N2.HOG0001048	OG0000796	n0		CCC26443.1		ALV10510.1	AMC58933.1
N2.HOG0001049	OG0000797	n0		CCC26451.1		ALV10518.1	AMC58944.1
N2.HOG0001050	OG0000798	n0		CCC26456.1		ALV10524.1	AMC58951.1, AMC58952.1
N2.HOG0001051	OG0000799	n0		CCC26474.1		ALV10541.1	AMC58971.1
N2.HOG0001052	OG0000800	n0		CCC26475.1		ALV10542.1	AMC58972.1
N2.HOG0001053	OG0000801	n0		CCC26477.1		ALV10544.1	AMC58974.1
N2.HOG0001054	OG0000802	n0		CCC26478.1		ALV10545.1	AMC58975.1
N2.HOG0001055	OG0000803	n0		CCC26479.1		ALV10546.1	AMC58977.1
N2.HOG0001056	OG0000804	n0		CCC26482.1		ALV10550.1	AMC58981.1
N2.HOG0001057	OG0000805	n0		CCC26483.1		ALV10551.1	AMC58982.1
N2.HOG0001058	OG0000806	n0		CCC26484.1		ALV10552.1	AMC58983.1
N2.HOG0001059	OG0000807	n0		CCC26485.1		ALV12935.1	AMC58984.1
N2.HOG0001060	OG0000808	n0		CCC26486.1		ALV12936.1	AMC58985.1
N2.HOG0001061	OG0000809	n0		CCC26496.1		ALV12939.1	AMC58995.1
N2.HOG0001062	OG0000810	n0		CCC26498.1		ALV12940.1	AMC58997.1
N2.HOG0001063	OG0000811	n0		CCC26499.1		ALV10561.1	AMC58998.1
N2.HOG0001064	OG0000812	n0		CCC26500.1		ALV10562.1	AMC58999.1
N2.HOG0001065	OG0000813	n0		CCC26502.1		ALV10564.1	AMC59001.1
N2.HOG0001066	OG0000814	n0		CCC26503.1		ALV10565.1	AMC59003.1
N2.HOG0001067	OG0000815	n0		CCC26504.1		ALV12941.1	AMC59004.1
N2.HOG0001068	OG0000816	n0		CCC26505.1		ALV12942.1	AMC59005.1
N2.HOG0001069	OG0000817	n0		CCC26506.1		ALV10566.1	AMC59006.1
N2.HOG0001070	OG0000818	n0		CCC26509.1		ALV10569.1	AMC59009.1
N2.HOG0001071	OG0000819	n0		CCC26510.1		ALV10570.1	AMC59010.1
N2.HOG0001072	OG0000820	n0		CCC26511.1		ALV10571.1	AMC59011.1
N2.HOG0001073	OG0000821	n0		CCC26514.1		ALV10574.1	AMC59014.1
N2.HOG0001074	OG0000822	n0		CCC26515.1		ALV10575.1	AMC59015.1
N2.HOG0001075	OG0000823	n0		CCC26516.1		ALV10576.1	AMC59016.1
N2.HOG0001076	OG0000824	n0		CCC26517.1		ALV10577.1	AMC59017.1
N2.HOG0001077	OG0000825	n0		CCC26521.1		ALV10581.1	AMC59021.1
N2.HOG0001078	OG0000826	n0		CCC26522.1		ALV10582.1	AMC59022.1
N2.HOG0001079	OG0000827	n0		CCC26527.1		ALV10587.1	AMC59028.1
N2.HOG0001080	OG0000828	n0		CCC26530.1		ALV10590.1	AMC59030.1
N2.HOG0001081	OG0000829	n0		CCC26531.1		ALV10591.1	AMC59031.1
N2.HOG0001082	OG0000830	n0		CCC26532.1		ALV10592.1	AMC59032.1
N2.HOG0001083	OG0000831	n0		CCC26534.1		ALV10595.1	AMC59036.1
N2.HOG0001084	OG0000832	n0		CCC26536.1		ALV10597.1	AMC59038.1
N2.HOG0001085	OG0000833	n0		CCC26539.1		ALV10601.1	AMC59043.1
N2.HOG0001086	OG0000834	n0		CCC26540.1		ALV10602.1	AMC59044.1
N2.HOG0001087	OG0000835	n0		CCC26542.1		ALV10604.1	AMC59046.1
N2.HOG0001088	OG0000836	n0		CCC26543.1		ALV10605.1	AMC59047.1
N2.HOG0001089	OG0000837	n0		CCC26545.1		ALV10608.1	AMC59052.1
N2.HOG0001090	OG0000838	n0		CCC26550.1		ALV10612.1	AMC59058.1
N2.HOG0001091	OG0000839	n0		CCC26551.1		ALV10613.1	AMC59059.1
N2.HOG0001092	OG0000840	n0		CCC26552.1		ALV10614.1	AMC59060.1
N2.HOG0001093	OG0000841	n0		CCC26553.1		ALV10615.1	AMC59061.1
N2.HOG0001094	OG0000842	n0		CCC26554.1		ALV10616.1	AMC59062.1
N2.HOG0001095	OG0000843	n0		CCC26555.1		ALV10617.1	AMC59063.1
N2.HOG0001096	OG0000844	n0		CCC26556.1		ALV10618.1	AMC59064.1
N2.HOG0001097	OG0000845	n0		CCC26557.1		ALV10619.1	AMC59065.1
N2.HOG0001098	OG0000846	n0		CCC26558.1		ALV10620.1	AMC59066.1
N2.HOG0001099	OG0000847	n0		CCC26559.1		ALV10621.1	AMC59067.1
N2.HOG0001100	OG0000848	n0		CCC26560.1		ALV10622.1	AMC59068.1
N2.HOG0001101	OG0000849	n0		CCC26565.1		ALV10627.1	AMC59073.1
N2.HOG0001102	OG0000850	n0		CCC26567.1		ALV10629.1	AMC59075.1
N2.HOG0001103	OG0000851	n3					AMC59077.1
N2.HOG0001104	OG0000852	n0		CCC26570.1		ALV10632.1	AMC59078.1
N2.HOG0001105	OG0000853	n0		CCC26571.1		ALV10633.1	AMC59081.1
N2.HOG0001106	OG0000854	n0		CCC26572.1		ALV10634.1	AMC59082.1
N2.HOG0001107	OG0000855	n0		CCC26573.1		ALV10635.1	AMC59084.1
N2.HOG0001108	OG0000856	n0		CCC26574.1		ALV10636.1	AMC59085.1
N2.HOG0001109	OG0000857	n0		CCC26575.1		ALV10637.1	AMC59086.1
N2.HOG0001110	OG0000858	n0		CCC26578.1		ALV10640.1	AMC59089.1
N2.HOG0001111	OG0000859	n0		CCC26579.1		ALV10641.1	AMC59090.1
N2.HOG0001112	OG0000860	n0		CCC26580.1		ALV10642.1	AMC59091.1
N2.HOG0001113	OG0000861	n0		CCC26581.1		ALV12945.1	AMC59092.1
N2.HOG0001114	OG0000862	n0		CCC26582.1		ALV10643.1	AMC59093.1
N2.HOG0001115	OG0000863	n0		CCC26588.1		ALV12946.1	AMC59100.1
N2.HOG0001116	OG0000864	n0		CCC26616.1		ALV10658.1	AMC59126.1
N2.HOG0001117	OG0000865	n0		CCC26634.1		ALV10674.1	AMC59150.1
N2.HOG0001118	OG0000866	n0		CCC26635.1		ALV10675.1	AMC59151.1
N2.HOG0001119	OG0000867	n0		CCC26636.1		ALV10676.1	AMC59152.1
N2.HOG0001120	OG0000868	n0		CCC26637.1		ALV10677.1	AMC59153.1
N2.HOG0001121	OG0000869	n0		CCC26638.1		ALV10678.1	AMC59154.1
N2.HOG0001122	OG0000870	n0		CCC26639.1		ALV10679.1	AMC59155.1
N2.HOG0001123	OG0000871	n0		CCC26643.1		ALV10683.1	AMC59159.1
N2.HOG0001124	OG0000872	n0		CCC26645.1		ALV10685.1	AMC59161.1
N2.HOG0001125	OG0000873	n0		CCC26646.1		ALV10686.1	AMC59162.1
N2.HOG0001126	OG0000874	n0		CCC26648.1		ALV10687.1	AMC59164.1
N2.HOG0001127	OG0000875	n0		CCC26654.1		ALV10693.1	AMC59171.1
N2.HOG0001128	OG0000876	n0		CCC26658.1		ALV10696.1	AMC59175.1
N2.HOG0001129	OG0000877	n0		CCC26663.1		ALV12955.1	AMC59180.1
N2.HOG0001130	OG0000878	n0		CCC26665.1		ALV10701.1	AMC59182.1
N2.HOG0001131	OG0000879	n0		CCC26667.1		ALV10702.1	AMC59184.1
N2.HOG0001132	OG0000880	n0		CCC26668.1		ALV10703.1	AMC59185.1
N2.HOG0001133	OG0000881	n0		CCC26669.1		ALV10704.1	AMC59186.1
N2.HOG0001134	OG0000882	n0		CCC26673.1		ALV12958.1	AMC59189.1
N2.HOG0001135	OG0000883	n0		CCC26674.1		ALV10706.1	AMC59190.1
N2.HOG0001136	OG0000884	n0		CCC26675.1		ALV10707.1	AMC59191.1
N2.HOG0001137	OG0000885	n0		CCC26676.1		ALV10708.1	AMC59192.1
N2.HOG0001138	OG0000886	n0		CCC26677.1		ALV10709.1	AMC59193.1
N2.HOG0001139	OG0000887	n0		CCC26678.1		ALV10710.1	AMC59194.1
N2.HOG0001140	OG0000888	n0		CCC26680.1		ALV12959.1	AMC59196.1
N2.HOG0001141	OG0000889	n0		CCC26683.1		ALV10714.1	AMC59199.1
N2.HOG0001142	OG0000890	n0		CCC26684.1		ALV10715.1	AMC59200.1
N2.HOG0001143	OG0000891	n0		CCC26685.1		ALV10716.1	AMC59201.1
N2.HOG0001144	OG0000892	n0		CCC26686.1		ALV10717.1	AMC59202.1
N2.HOG0001145	OG0000893	n0		CCC26687.1		ALV12960.1	AMC59203.1
N2.HOG0001146	OG0000894	n0		CCC26688.1		ALV10718.1	AMC59204.1
N2.HOG0001147	OG0000895	n0		CCC26689.1		ALV10719.1	AMC59205.1
N2.HOG0001148	OG0000896	n0		CCC26690.1		ALV10720.1	AMC59206.1
N2.HOG0001149	OG0000897	n0		CCC26691.1		ALV10721.1	AMC59207.1
N2.HOG0001150	OG0000898	n0		CCC26693.1		ALV12961.1	AMC59209.1
N2.HOG0001151	OG0000899	n0		CCC26694.1		ALV10723.1	AMC59210.1
N2.HOG0001152	OG0000900	n0		CCC26695.1		ALV10724.1	AMC59211.1
N2.HOG0001153	OG0000901	n0		CCC26696.1		ALV10725.1	AMC59212.1
N2.HOG0001154	OG0000902	n0		CCC26697.1		ALV10726.1	AMC59213.1
N2.HOG0001155	OG0000903	n0		CCC26698.1		ALV10727.1	AMC59214.1
N2.HOG0001156	OG0000904	n0		CCC26701.1		ALV10730.1	AMC59217.1
N2.HOG0001157	OG0000905	n0		CCC26702.1		ALV10731.1	AMC59218.1
N2.HOG0001158	OG0000906	n0		CCC26709.1		ALV10738.1	AMC59225.1
N2.HOG0001159	OG0000907	n0		CCC26710.1		ALV10739.1	AMC59226.1
N2.HOG0001160	OG0000908	n0		CCC26712.1		ALV10741.1	AMC59228.1
N2.HOG0001161	OG0000909	n0		CCC26713.1		ALV10742.1	AMC59229.1
N2.HOG0001162	OG0000910	n0		CCC26714.1		ALV10743.1	AMC59230.1
N2.HOG0001163	OG0000911	n0		CCC26715.1		ALV10744.1	AMC59231.1
N2.HOG0001164	OG0000912	n0		CCC26717.1		ALV12962.1	AMC59233.1
N2.HOG0001165	OG0000913	n0		CCC26720.1		ALV10747.1	AMC59237.1
N2.HOG0001166	OG0000914	n0		CCC26721.1		ALV12965.1	AMC59239.1
N2.HOG0001167	OG0000915	n0		CCC26724.1		ALV10750.1	AMC59243.1
N2.HOG0001168	OG0000916	n0		CCC26725.1		ALV10751.1	AMC59244.1
N2.HOG0001169	OG0000917	n0		CCC26726.1		ALV10752.1	AMC59245.1
N2.HOG0001170	OG0000918	n0		CCC26727.1		ALV10753.1	AMC59246.1
N2.HOG0001171	OG0000919	n0		CCC26728.1		ALV10754.1	AMC59247.1
N2.HOG0001172	OG0000920	n0		CCC26731.1		ALV10757.1	AMC59250.1
N2.HOG0001173	OG0000921	n0		CCC26732.1		ALV10758.1	AMC59251.1
N2.HOG0001174	OG0000922	n0		CCC26733.1		ALV10759.1	AMC59252.1
N2.HOG0001175	OG0000923	n0		CCC26734.1		ALV10760.1	AMC59253.1
N2.HOG0001176	OG0000924	n0		CCC26736.1		ALV10762.1	AMC59258.1
N2.HOG0001177	OG0000925	n0		CCC26737.1		ALV10763.1	AMC59259.1
N2.HOG0001178	OG0000926	n0		CCC26738.1		ALV10764.1	AMC59260.1
N2.HOG0001179	OG0000927	n0		CCC26739.1		ALV10765.1	AMC59261.1
N2.HOG0001180	OG0000928	n0		CCC26740.1		ALV10766.1	AMC59262.1
N2.HOG0001181	OG0000929	n0		CCC26741.1		ALV10767.1	AMC59263.1
N2.HOG0001182	OG0000930	n0		CCC26742.1		ALV10768.1	AMC59264.1
N2.HOG0001183	OG0000931	n0		CCC26743.1		ALV10769.1	AMC59265.1
N2.HOG0001184	OG0000932	n0		CCC26771.1		ALV12968.1	AMC59292.1
N2.HOG0001185	OG0000933	n0		CCC26772.1		ALV10790.1	AMC59293.1
N2.HOG0001186	OG0000934	n0		CCC26773.1		ALV10791.1	AMC59294.1
N2.HOG0001187	OG0000935	n0		CCC26775.1		ALV10793.1	AMC59296.1
N2.HOG0001188	OG0000936	n0		CCC26776.1		ALV10794.1	AMC59297.1
N2.HOG0001189	OG0000937	n0		CCC26777.1		ALV10795.1	AMC59298.1
N2.HOG0001190	OG0000938	n0		CCC26781.1		ALV10798.1	AMC59303.1
N2.HOG0001191	OG0000939	n0		CCC26782.1		ALV10799.1	AMC59304.1
N2.HOG0001192	OG0000940	n0		CCC26783.1		ALV10800.1	AMC59305.1
N2.HOG0001193	OG0000941	n0		CCC26784.1		ALV10801.1	AMC59306.1
N2.HOG0001194	OG0000942	n0		CCC26785.1		ALV10802.1	AMC59307.1
N2.HOG0001195	OG0000943	n0		CCC26786.1		ALV10803.1	AMC59308.1
N2.HOG0001196	OG0000944	n0		CCC26787.1		ALV10804.1	AMC59309.1
N2.HOG0001197	OG0000945	n0		CCC26788.1		ALV10805.1	AMC59310.1
N2.HOG0001198	OG0000946	n0		CCC26798.1		ALV10814.1	AMC59325.1
N2.HOG0001199	OG0000947	n0		CCC26799.1		ALV10815.1	AMC59327.1
N2.HOG0001200	OG0000948	n0		CCC26800.1		ALV10816.1	AMC59328.1
N2.HOG0001201	OG0000949	n0		CCC26801.1		ALV10817.1	AMC59329.1
N2.HOG0001202	OG0000950	n0		CCC26802.1		ALV10818.1	AMC59330.1
N2.HOG0001203	OG0000951	n0		CCC26839.1		ALV10849.1	AMC59371.1
N2.HOG0001204	OG0000952	n0		CCC26850.1		ALV10859.1	AMC59388.1
N2.HOG0001205	OG0000953	n0		CCC26872.1		ALV10876.1	AMC59408.1
N2.HOG0001206	OG0000954	n0		CCC26874.1		ALV10877.1	AMC59410.1
N2.HOG0001207	OG0000955	n0		CCC26876.1		ALV10878.1	AMC59411.1
N2.HOG0001208	OG0000956	n0		CCC26886.1		ALV10886.1	AMC59421.1
N2.HOG0001209	OG0000957	n0		CCC26887.1		ALV10887.1	AMC59422.1
N2.HOG0001210	OG0000958	n0		CCC26888.1		ALV10888.1	AMC59424.1
N2.HOG0001211	OG0000959	n0		CCC26889.1		ALV10889.1	AMC59425.1
N2.HOG0001212	OG0000960	n0		CCC26890.1		ALV10890.1	AMC59426.1
N2.HOG0001213	OG0000961	n0		CCC26903.1		ALV10903.1	AMC59441.1
N2.HOG0001214	OG0000962	n0		CCC26904.1		ALV10904.1	AMC59442.1, AMC59443.1
N2.HOG0001215	OG0000963	n0		CCC26907.1		ALV10907.1	AMC59446.1
N2.HOG0001216	OG0000964	n0		CCC26909.1		ALV10909.1	AMC59448.1
N2.HOG0001217	OG0000965	n0		CCC26911.1		ALV10911.1	AMC59451.1
N2.HOG0001218	OG0000966	n0		CCC26913.1		ALV10913.1	AMC59453.1
N2.HOG0001219	OG0000967	n0		CCC26914.1		ALV10914.1	AMC59454.1
N2.HOG0001220	OG0000968	n0		CCC26918.1		ALV10917.1	AMC59458.1
N2.HOG0001221	OG0000969	n0		CCC26919.1		ALV10918.1	AMC59459.1
N2.HOG0001222	OG0000970	n0		CCC26920.1		ALV10919.1	AMC59460.1
N2.HOG0001223	OG0000971	n0		CCC26921.1		ALV10920.1	AMC59461.1
N2.HOG0001224	OG0000972	n0		CCC26922.1		ALV10921.1	AMC59462.1
N2.HOG0001225	OG0000973	n0		CCC26924.1		ALV10923.1	AMC59463.1
N2.HOG0001226	OG0000974	n0		CCC26928.1		ALV10927.1	AMC59467.1
N2.HOG0001227	OG0000975	n0		CCC26929.1		ALV10928.1	AMC59468.1
N2.HOG0001228	OG0000976	n0		CCC26935.1		ALV10935.1	AMC59475.1
N2.HOG0001229	OG0000977	n0		CCC26937.1		ALV10936.1	AMC59477.1
N2.HOG0001230	OG0000978	n0		CCC26938.1		ALV10937.1	AMC59478.1
N2.HOG0001231	OG0000979	n0		CCC26948.1		ALV10947.1	AMC59488.1
N2.HOG0001232	OG0000980	n0		CCC26952.1		ALV10951.1	AMC59492.1
N2.HOG0001233	OG0000981	n0		CCC26953.1		ALV10952.1	AMC59493.1
N2.HOG0001234	OG0000982	n0		CCC26954.1		ALV10953.1	AMC59494.1
N2.HOG0001235	OG0000983	n0		CCC26957.1		ALV10956.1	AMC59497.1
N2.HOG0001236	OG0000984	n0		CCC26959.1		ALV10958.1	AMC59499.1
N2.HOG0001237	OG0000985	n0		CCC26963.1		ALV10962.1	AMC59503.1
N2.HOG0001238	OG0000986	n0		CCC26964.1		ALV10963.1	AMC59504.1
N2.HOG0001239	OG0000987	n0		CCC26968.1		ALV12986.1	AMC59508.1
N2.HOG0001240	OG0000988	n0		CCC26973.1		ALV10970.1	AMC59514.1
N2.HOG0001241	OG0000989	n0		CCC26976.1		ALV10973.1	AMC59517.1
N2.HOG0001242	OG0000990	n0		CCC26979.1		ALV10976.1	AMC59521.1, AMC59522.1
N2.HOG0001243	OG0000991	n0		CCC26989.1		ALV10983.1	AMC59533.1
N2.HOG0001244	OG0000992	n0		CCC26994.1		ALV10988.1	AMC59539.1
N2.HOG0001245	OG0000993	n0		CCC26996.1		ALV10989.1	AMC59541.1
N2.HOG0001246	OG0000994	n0		CCC26998.1		ALV10990.1	AMC59543.1
N2.HOG0001247	OG0000995	n0		CCC27009.1		ALV10999.1	AMC59554.1
N2.HOG0001248	OG0000996	n0		CCC27012.1		ALV11001.1	AMC59559.1
N2.HOG0001249	OG0000997	n0		CCC27019.1		ALV11007.1	AMC59568.1
N2.HOG0001250	OG0000998	n0		CCC27024.1		ALV11011.1	AMC59573.1, AMC59572.1
N2.HOG0001251	OG0000999	n0		CCC27123.1		ALV11104.1	AMC59684.1
N2.HOG0001252	OG0001000	n0		CCC27124.1		ALV11105.1	AMC59685.1
N2.HOG0001253	OG0001001	n0		CCC27125.1		ALV11106.1	AMC59687.1
N2.HOG0001254	OG0001002	n0		CCC27126.1		ALV11107.1	AMC59688.1
N2.HOG0001255	OG0001003	n0		CCC27135.1		ALV11115.1	AMC59698.1
N2.HOG0001256	OG0001004	n0		CCC27137.1		ALV11116.1	AMC59702.1
N2.HOG0001257	OG0001005	n0		CCC27139.1		ALV11118.1	AMC59704.1
N2.HOG0001258	OG0001006	n0		CCC27145.1			AMC59710.1
N2.HOG0001259	OG0001007	n0		CCC27146.1		ALV11123.1	AMC59711.1
N2.HOG0001260	OG0001008	n0		CCC27154.1		ALV11132.1	AMC59721.1
N2.HOG0001261	OG0001009	n0		CCC27175.1		ALV11152.1	AMC59746.1
N2.HOG0001262	OG0001010	n0		CCC27176.1		ALV11153.1	AMC59747.1
N2.HOG0001263	OG0001011	n0		CCC27177.1		ALV11154.1	AMC59748.1
N2.HOG0001264	OG0001012	n0		CCC27178.1		ALV13011.1	AMC59749.1
N2.HOG0001265	OG0001013	n0		CCC27179.1		ALV11155.1	AMC59750.1
N2.HOG0001266	OG0001014	n0		CCC27180.1		ALV11156.1	AMC59751.1
N2.HOG0001267	OG0001015	n0		CCC27181.1		ALV11157.1	AMC59752.1
N2.HOG0001268	OG0001016	n1		CCC28860.1			AMC61591.1
N2.HOG0001269	OG0001016	n2		CCC27184.1		ALV11159.1	AMC59755.1
N2.HOG0001270	OG0001017	n0		CCC27191.1		ALV11167.1	AMC59764.1
N2.HOG0001271	OG0001018	n0		CCC27192.1		ALV11168.1	AMC59765.1
N2.HOG0001272	OG0001019	n0		CCC27193.1		ALV13012.1	AMC59766.1
N2.HOG0001273	OG0001020	n0		CCC27194.1		ALV11169.1	AMC59767.1
N2.HOG0001274	OG0001021	n0		CCC27198.1		ALV11172.1	AMC59773.1
N2.HOG0001275	OG0001022	n0		CCC27199.1		ALV11173.1	AMC59774.1
N2.HOG0001276	OG0001023	n0		CCC27200.1		ALV11174.1	AMC59775.1
N2.HOG0001277	OG0001024	n0		CCC27201.1		ALV11175.1	AMC59776.1
N2.HOG0001278	OG0001025	n0		CCC27203.1		ALV11177.1	AMC59778.1
N2.HOG0001279	OG0001026	n0		CCC27204.1		ALV11178.1	AMC59779.1
N2.HOG0001280	OG0001027	n0		CCC27207.1		ALV11181.1	AMC59782.1
N2.HOG0001281	OG0001028	n0		CCC27212.1		ALV11187.1	AMC59788.1
N2.HOG0001282	OG0001029	n0		CCC27215.1		ALV11189.1	AMC59792.1
N2.HOG0001283	OG0001030	n0		CCC27216.1		ALV11190.1	AMC59793.1
N2.HOG0001284	OG0001031	n0		CCC27217.1		ALV11191.1	AMC59794.1
N2.HOG0001285	OG0001032	n0		CCC27218.1		ALV13015.1	AMC59795.1
N2.HOG0001286	OG0001033	n0		CCC27221.1		ALV11195.1	AMC59800.1
N2.HOG0001287	OG0001034	n0		CCC27222.1		ALV11196.1	AMC59801.1
N2.HOG0001288	OG0001035	n0		CCC27223.1		ALV13016.1	AMC59802.1
N2.HOG0001289	OG0001036	n0		CCC27226.1		ALV11199.1	AMC59806.1
N2.HOG0001290	OG0001037	n0		CCC27228.1		ALV11201.1	AMC59808.1
N2.HOG0001291	OG0001038	n0		CCC27229.1		ALV11202.1	AMC59809.1
N2.HOG0001292	OG0001039	n0		CCC27230.1		ALV11203.1	AMC59810.1
N2.HOG0001293	OG0001040	n0		CCC27231.1		ALV11204.1	AMC59811.1
N2.HOG0001294	OG0001041	n0		CCC27232.1		ALV11205.1	AMC59812.1
N2.HOG0001295	OG0001042	n0		CCC27234.1		ALV11207.1	AMC59814.1
N2.HOG0001296	OG0001043	n0		CCC27235.1		ALV11208.1	AMC59815.1
N2.HOG0001297	OG0001044	n0		CCC27237.1		ALV13018.1	AMC59817.1
N2.HOG0001298	OG0001045	n0		CCC27238.1		ALV11209.1	AMC59819.1
N2.HOG0001299	OG0001046	n0		CCC27239.1		ALV11210.1	AMC59820.1
N2.HOG0001300	OG0001047	n0		CCC27240.1		ALV11211.1	AMC59821.1
N2.HOG0001301	OG0001048	n0		CCC27246.1		ALV11216.1	AMC59829.1
N2.HOG0001302	OG0001049	n0		CCC27247.1		ALV11217.1	AMC59830.1
N2.HOG0001303	OG0001050	n0		CCC27248.1		ALV13019.1	AMC59831.1
N2.HOG0001304	OG0001051	n0		CCC27249.1		ALV11218.1	AMC59832.1
N2.HOG0001305	OG0001052	n0		CCC27250.1		ALV11219.1	AMC59833.1
N2.HOG0001306	OG0001053	n0		CCC27251.1		ALV11220.1	AMC59834.1
N2.HOG0001307	OG0001054	n0		CCC27252.1		ALV13020.1	AMC59835.1
N2.HOG0001308	OG0001055	n0		CCC27253.1		ALV11221.1	AMC59836.1
N2.HOG0001309	OG0001056	n0		CCC27256.1		ALV11223.1	AMC59839.1
