HOG	OG	Gene Tree Parent Clade	Mavium	Mafric	Mlepra	Mbovis	Mmicro
N3.HOG0000390	OG0000170	n0		CCC28427.1		ALV13176.1	
N3.HOG0000391	OG0000171	n3		CCC28439.1		ALV12301.1	
N3.HOG0000392	OG0000171	n5		CCC28430.1		ALV12291.1	
N3.HOG0000393	OG0000172	n1		CCC28508.1		ALV12358.1	
N3.HOG0000394	OG0000172	n5		CCC28513.1			
N3.HOG0000395	OG0000173	n0		CCC28622.1		ALV12449.1	
N3.HOG0000396	OG0000174	n0		CCC28651.1		ALV12474.1	
N3.HOG0000397	OG0000175	n0		CCC28721.1		ALV13214.1	
N3.HOG0000398	OG0000176	n1		CCC28818.1		ALV12612.1	
N3.HOG0000399	OG0000176	n4		CCC28812.1			
N3.HOG0000400	OG0000177	n0		CCC28845.1		ALV12632.1	
N3.HOG0000401	OG0000178	n0		CCC28847.1		ALV12634.1	
N3.HOG0000402	OG0000179	n0		CCC28875.1		ALV12659.1	
N3.HOG0000403	OG0000181	n0				ALV10982.1	
N3.HOG0000404	OG0000182	n1		CCC25095.1		ALV09300.1	
N3.HOG0000405	OG0000183	n0		CCC25120.1		ALV09322.1	
N3.HOG0000406	OG0000184	n1		CCC27650.1		ALV13071.1	
N3.HOG0000407	OG0000184	n3		CCC25146.1		ALV09349.1	
N3.HOG0000408	OG0000185	n1		CCC27651.1		ALV11575.1	
N3.HOG0000409	OG0000185	n3		CCC25147.1		ALV09350.1	
N3.HOG0000410	OG0000186	n0		CCC25192.1		ALV12779.1	
N3.HOG0000411	OG0000187	n0		CCC25205.1		ALV09400.1	
N3.HOG0000412	OG0000188	n0		CCC25238.1		ALV09426.1	
N3.HOG0000413	OG0000189	n0		CCC25254.1		ALV09442.1	
N3.HOG0000414	OG0000190	n0		CCC25263.1		ALV09451.1	
N3.HOG0000415	OG0000191	n0		CCC25269.1		ALV09455.1	
N3.HOG0000416	OG0000192	n0		CCC25287.1		ALV09470.1	
N3.HOG0000417	OG0000193	n0		CCC25288.1		ALV09471.1	
N3.HOG0000418	OG0000194	n0		CCC25346.1		ALV09530.1	
N3.HOG0000419	OG0000195	n1		CCC25831.1		ALV09970.1	
N3.HOG0000420	OG0000195	n3		CCC25350.1		ALV09534.1	
N3.HOG0000421	OG0000196	n0		CCC25384.1		ALV09567.1	
N3.HOG0000422	OG0000197	n0		CCC25424.1		ALV09601.1	
N3.HOG0000423	OG0000198	n0		CCC25426.1		ALV09603.1	
N3.HOG0000424	OG0000199	n0		CCC25507.1		ALV09678.1	
N3.HOG0000425	OG0000200	n0		CCC25566.1		ALV12819.1	
N3.HOG0000426	OG0000201	n0		CCC25574.1		ALV09734.1	
N3.HOG0000427	OG0000202	n0		CCC25580.1		ALV09740.1	
N3.HOG0000428	OG0000203	n0		CCC25590.1		ALV09748.1	
N3.HOG0000429	OG0000204	n0		CCC25622.1		ALV09776.1	
N3.HOG0000430	OG0000205	n0		CCC25637.1		ALV09790.1	
N3.HOG0000431	OG0000206	n2		CCC25680.1		ALV09827.1	
N3.HOG0000432	OG0000206	n4		CCC28074.1		ALV11953.1	
N3.HOG0000433	OG0000207	n1		CCC25707.1		ALV09853.1	
N3.HOG0000434	OG0000207	n3		CCC25955.1		ALV10082.1	
N3.HOG0000435	OG0000208	n0		CCC25735.1		ALV09878.1	
N3.HOG0000436	OG0000209	n0		CCC25766.1		ALV09908.1	
N3.HOG0000437	OG0000210	n0		CCC25805.1		ALV09950.1	
N3.HOG0000438	OG0000211	n0		CCC25810.1		ALV12845.1	
N3.HOG0000439	OG0000212	n0		CCC25835.1		ALV09974.1	
N3.HOG0000440	OG0000213	n0		CCC25842.1		ALV09983.1	
N3.HOG0000441	OG0000214	n0		CCC25845.1		ALV09986.1	
N3.HOG0000442	OG0000215	n0		CCC25866.1		ALV10007.1	
N3.HOG0000443	OG0000216	n0		CCC25903.1		ALV10040.1	
N3.HOG0000444	OG0000217	n0		CCC25940.1		ALV10068.1	
N3.HOG0000445	OG0000218	n0		CCC25941.1		ALV10069.1	
N3.HOG0000446	OG0000219	n0		CCC25961.1		ALV10088.1	
N3.HOG0000447	OG0000220	n0		CCC25966.1		ALV10093.1	
N3.HOG0000448	OG0000221	n0		CCC25983.1		ALV10108.1	
N3.HOG0000449	OG0000222	n0		CCC26010.1		ALV12872.1	
N3.HOG0000450	OG0000223	n0		CCC26011.1		ALV10133.1	
N3.HOG0000451	OG0000224	n0		CCC26053.1		ALV10169.1	
N3.HOG0000452	OG0000225	n0		CCC26068.1		ALV10182.1	
N3.HOG0000453	OG0000226	n0		CCC26105.1		ALV10215.1	
N3.HOG0000454	OG0000227	n1		CCC26118.1		ALV10228.1	
N3.HOG0000455	OG0000227	n3		CCC28468.1		ALV13183.1	
N3.HOG0000456	OG0000228	n1		CCC26239.1		ALV10235.1	
N3.HOG0000457	OG0000228	n3		CCC26125.1		ALV10335.1	
N3.HOG0000458	OG0000229	n1				ALV10236.1	
N3.HOG0000459	OG0000229	n2		CCC26126.1, CCC26238.1		ALV10334.1	
N3.HOG0000460	OG0000230	n0		CCC26164.1		ALV10267.1	
N3.HOG0000461	OG0000231	n0		CCC26167.1		ALV10270.1	
N3.HOG0000462	OG0000232	n0		CCC26240.1		ALV10336.1	
N3.HOG0000463	OG0000233	n2		CCC26254.1		ALV10350.1	
N3.HOG0000464	OG0000233	n4				ALV12974.1	
N3.HOG0000465	OG0000234	n0		CCC26261.1		ALV10355.1	
N3.HOG0000466	OG0000235	n0		CCC26265.1		ALV10359.1	
N3.HOG0000467	OG0000236	n0		CCC26291.1		ALV10377.1	
N3.HOG0000468	OG0000237	n0		CCC26303.1		ALV10390.1	
N3.HOG0000469	OG0000238	n1		CCC26351.1			
N3.HOG0000470	OG0000238	n3				ALV09806.1	
N3.HOG0000471	OG0000239	n0		CCC26387.1		ALV10458.1	
N3.HOG0000472	OG0000240	n0		CCC26392.1		ALV10465.1	
N3.HOG0000473	OG0000241	n4				ALV12929.1	
N3.HOG0000474	OG0000242	n0		CCC26445.1		ALV10512.1	
N3.HOG0000475	OG0000243	n0		CCC26459.1		ALV10526.1	
N3.HOG0000476	OG0000244	n1		CCC28821.1		ALV12614.1	
N3.HOG0000477	OG0000244	n3		CCC26563.1		ALV10625.1	
N3.HOG0000478	OG0000245	n0		CCC26566.1		ALV10628.1	
N3.HOG0000479	OG0000246	n0		CCC26583.1		ALV10644.1	
N3.HOG0000480	OG0000247	n0		CCC26592.1		ALV12948.1	
N3.HOG0000481	OG0000248	n2		CCC28706.1		ALV13211.1	
N3.HOG0000482	OG0000248	n4		CCC26609.1			
N3.HOG0000483	OG0000249	n2		CCC26612.1			
N3.HOG0000484	OG0000249	n3		CCC28031.1		ALV11913.1	
N3.HOG0000485	OG0000250	n0		CCC26664.1		ALV10700.1	
N3.HOG0000486	OG0000251	n0		CCC26679.1		ALV10711.1	
N3.HOG0000487	OG0000252	n0		CCC26700.1		ALV10729.1	
N3.HOG0000488	OG0000253	n0		CCC26719.1		ALV12963.1	
N3.HOG0000489	OG0000254	n0		CCC26723.1		ALV10749.1	
N3.HOG0000490	OG0000256	n0		CCC26789.1		ALV12970.1	
N3.HOG0000491	OG0000257	n0		CCC26797.1		ALV10813.1	
N3.HOG0000492	OG0000258	n0		CCC26912.1		ALV10912.1	
N3.HOG0000493	OG0000259	n3				ALV10967.1	
N3.HOG0000494	OG0000259	n4				ALV10968.1	
N3.HOG0000495	OG0000260	n0		CCC26975.1		ALV10972.1	
N3.HOG0000496	OG0000261	n0		CCC26984.1		ALV12990.1	
N3.HOG0000497	OG0000262	n0		CCC26995.1		ALV12991.1	
N3.HOG0000498	OG0000263	n0		CCC26999.1		ALV10991.1	
N3.HOG0000499	OG0000264	n0		CCC27029.1		ALV12996.1	
N3.HOG0000500	OG0000265	n0		CCC27122.1		ALV13006.1	
N3.HOG0000501	OG0000266	n0		CCC27160.1		ALV11137.1	
N3.HOG0000502	OG0000267	n0		CCC27197.1		ALV13013.1	
N3.HOG0000503	OG0000268	n0		CCC27213.1		ALV13014.1	
N3.HOG0000504	OG0000269	n0		CCC27227.1		ALV11200.1	
N3.HOG0000505	OG0000270	n0		CCC27254.1		ALV11222.1	
N3.HOG0000506	OG0000271	n1		CCC27509.1			
N3.HOG0000507	OG0000271	n2		CCC27258.1		ALV11225.1, ALV13053.1	
N3.HOG0000508	OG0000273	n0		CCC27276.1		ALV11240.1	
N3.HOG0000509	OG0000274	n0		CCC27282.1		ALV11246.1	
N3.HOG0000510	OG0000275	n0		CCC27297.1		ALV11260.1	
N3.HOG0000511	OG0000276	n0		CCC27323.1		ALV11284.1	
N3.HOG0000512	OG0000277	n0		CCC27373.1		ALV13038.1	
N3.HOG0000513	OG0000278	n0		CCC27414.1		ALV11366.1	
N3.HOG0000514	OG0000279	n0		CCC27443.1		ALV11382.1	
N3.HOG0000515	OG0000280	n0		CCC27460.1		ALV11397.1	
N3.HOG0000516	OG0000281	n0		CCC27461.1		ALV11398.1	
N3.HOG0000517	OG0000282	n0		CCC27474.1		ALV11410.1	
N3.HOG0000518	OG0000283	n0		CCC27501.1		ALV11438.1	
N3.HOG0000519	OG0000284	n0		CCC27556.1		ALV11485.1	
N3.HOG0000520	OG0000285	n2		CCC27578.1		ALV11505.1	
N3.HOG0000521	OG0000285	n3		CCC27616.1		ALV11543.1	
N3.HOG0000522	OG0000286	n0		CCC27603.1		ALV11532.1	
N3.HOG0000523	OG0000287	n0		CCC27610.1		ALV11538.1	
N3.HOG0000524	OG0000288	n0		CCC27669.1		ALV13073.1	
N3.HOG0000525	OG0000289	n0		CCC27745.1		ALV11659.1	
N3.HOG0000526	OG0000290	n0		CCC27764.1		ALV11672.1	
N3.HOG0000527	OG0000291	n0		CCC27773.1		ALV11681.1	
N3.HOG0000528	OG0000292	n0		CCC27823.1		ALV11723.1	
N3.HOG0000529	OG0000293	n0		CCC27921.1		ALV11817.1	
N3.HOG0000530	OG0000294	n0		CCC27961.1		ALV11855.1	
N3.HOG0000531	OG0000295	n0		CCC28003.1		ALV11890.1	
N3.HOG0000532	OG0000296	n0		CCC28056.1		ALV11937.1	
N3.HOG0000533	OG0000297	n0		CCC28057.1		ALV11938.1	
N3.HOG0000534	OG0000298	n0		CCC28062.1		ALV11942.1	
N3.HOG0000535	OG0000299	n0		CCC28063.1		ALV11943.1	
N3.HOG0000536	OG0000300	n0		CCC28071.1		ALV11949.1	
N3.HOG0000537	OG0000301	n0		CCC28113.1		ALV11986.1	
N3.HOG0000538	OG0000302	n0		CCC28116.1		ALV13129.1	
N3.HOG0000539	OG0000303	n0		CCC28122.1		ALV11991.1	
N3.HOG0000540	OG0000304	n0		CCC28142.1		ALV12008.1	
N3.HOG0000541	OG0000305	n0		CCC28179.1		ALV12044.1	
N3.HOG0000542	OG0000306	n1		CCC28186.1		ALV12050.1	
N3.HOG0000543	OG0000306	n3		CCC28410.1		ALV12278.1	
N3.HOG0000544	OG0000307	n0		CCC28246.1		ALV12099.1	
N3.HOG0000545	OG0000308	n0		CCC28250.1		ALV12102.1	
N3.HOG0000546	OG0000309	n0		CCC28290.1		ALV12136.1	
N3.HOG0000547	OG0000310	n1		CCC28320.1		ALV12162.1	
N3.HOG0000548	OG0000310	n3		CCC28806.1		ALV13225.1	
N3.HOG0000549	OG0000311	n0		CCC28335.1		ALV12176.1	
N3.HOG0000550	OG0000312	n4				ALV12191.1	
N3.HOG0000551	OG0000313	n0		CCC28354.1		ALV12194.1	
N3.HOG0000552	OG0000314	n0		CCC28366.1		ALV12204.1	
N3.HOG0000553	OG0000315	n0		CCC28369.1		ALV12207.1	
N3.HOG0000554	OG0000316	n0		CCC28381.1		ALV13169.1, ALV13167.1, ALV13165.1	
N3.HOG0000555	OG0000317	n0		CCC28387.1		ALV12241.1, ALV12224.1, ALV12258.1	
N3.HOG0000556	OG0000318	n0		CCC28390.1		ALV12261.1, ALV12227.1, ALV12244.1	
N3.HOG0000557	OG0000319	n0		CCC28391.1		ALV12262.1, ALV12228.1, ALV12245.1	
N3.HOG0000558	OG0000320	n0		CCC28396.1		ALV12266.1, ALV12249.1, ALV12232.1	
N3.HOG0000559	OG0000321	n0		CCC28423.1		ALV12286.1	
N3.HOG0000560	OG0000322	n0		CCC28489.1		ALV12341.1	
N3.HOG0000561	OG0000323	n0		CCC28547.1		ALV12387.1	
N3.HOG0000562	OG0000324	n0		CCC28549.1		ALV12389.1	
N3.HOG0000563	OG0000325	n0		CCC28566.1		ALV13197.1	
N3.HOG0000564	OG0000326	n0		CCC28596.1		ALV12425.1	
N3.HOG0000565	OG0000327	n0		CCC28653.1		ALV12476.1	
N3.HOG0000566	OG0000328	n0		CCC28710.1		ALV12525.1	
N3.HOG0000567	OG0000329	n0		CCC28724.1		ALV13215.1	
N3.HOG0000568	OG0000330	n0		CCC28752.1		ALV12558.1	
N3.HOG0000569	OG0000331	n0		CCC28795.1		ALV12595.1	
N3.HOG0000570	OG0000332	n0		CCC28849.1		ALV12636.1	
N3.HOG0000571	OG0000333	n0		CCC28883.1		ALV12667.1	
N3.HOG0000572	OG0000334	n4				ALV12668.1	
N3.HOG0000573	OG0000335	n0		CCC28939.1		ALV12717.1	
N3.HOG0000574	OG0000341	n0				ALV09538.1, ALV09537.1, ALV10858.1, ALV09968.1, ALV10895.1, ALV09536.1	
N3.HOG0000575	OG0000342	n0		CCC25075.1		ALV09281.1	
N3.HOG0000576	OG0000343	n0		CCC25076.1		ALV09282.1	
N3.HOG0000577	OG0000344	n0		CCC25077.1		ALV09283.1	
N3.HOG0000578	OG0000345	n0		CCC25078.1		ALV09284.1	
N3.HOG0000579	OG0000346	n0		CCC25079.1		ALV12767.1	
N3.HOG0000580	OG0000347	n0		CCC25080.1		ALV09285.1	
N3.HOG0000581	OG0000348	n0		CCC25083.1		ALV09289.1	
N3.HOG0000582	OG0000349	n0		CCC25085.1		ALV09290.1	
N3.HOG0000583	OG0000350	n0		CCC25087.1		ALV09292.1	
N3.HOG0000584	OG0000351	n0		CCC25088.1		ALV09293.1	
N3.HOG0000585	OG0000352	n0		CCC25089.1		ALV09294.1	
N3.HOG0000586	OG0000353	n0		CCC25090.1		ALV09295.1	
N3.HOG0000587	OG0000354	n0		CCC25091.1		ALV09296.1	
N3.HOG0000588	OG0000355	n0		CCC25092.1		ALV09297.1	
N3.HOG0000589	OG0000356	n0		CCC25093.1		ALV09298.1	
N3.HOG0000590	OG0000357	n0		CCC25094.1		ALV09299.1	
N3.HOG0000591	OG0000358	n0		CCC25098.1		ALV09303.1	
N3.HOG0000592	OG0000359	n0		CCC25112.1		ALV12770.1	
N3.HOG0000593	OG0000360	n0		CCC25114.1		ALV09316.1	
N3.HOG0000594	OG0000361	n0		CCC25115.1		ALV09317.1	
N3.HOG0000595	OG0000362	n0		CCC25116.1		ALV09318.1	
N3.HOG0000596	OG0000363	n0		CCC25118.1		ALV09320.1	
N3.HOG0000597	OG0000364	n0		CCC25121.1		ALV09323.1	
N3.HOG0000598	OG0000365	n0		CCC25123.1		ALV09325.1	
N3.HOG0000599	OG0000366	n0		CCC25124.1		ALV09326.1	
N3.HOG0000600	OG0000367	n0		CCC25125.1		ALV09327.1	
N3.HOG0000601	OG0000368	n0		CCC25127.1		ALV09329.1	
N3.HOG0000602	OG0000369	n0		CCC25128.1		ALV09330.1	
N3.HOG0000603	OG0000370	n0		CCC25129.1		ALV09331.1	
N3.HOG0000604	OG0000371	n0		CCC25130.1		ALV09332.1	
N3.HOG0000605	OG0000372	n0		CCC25132.1		ALV09333.1	
N3.HOG0000606	OG0000373	n0		CCC25140.1		ALV09343.1	
N3.HOG0000607	OG0000374	n0		CCC25148.1		ALV09351.1	
N3.HOG0000608	OG0000375	n0		CCC25177.1		ALV09375.1	
N3.HOG0000609	OG0000376	n0		CCC25181.1		ALV09379.1	
N3.HOG0000610	OG0000377	n0		CCC25182.1		ALV09380.1	
N3.HOG0000611	OG0000378	n0		CCC25186.1		ALV12777.1	
N3.HOG0000612	OG0000379	n0		CCC25189.1		ALV09386.1	
N3.HOG0000613	OG0000380	n0		CCC25191.1		ALV12778.1	
N3.HOG0000614	OG0000381	n0		CCC25194.1		ALV12781.1	
N3.HOG0000615	OG0000382	n0		CCC25199.1		ALV09394.1	
N3.HOG0000616	OG0000383	n0		CCC25210.1		ALV09404.1	
N3.HOG0000617	OG0000384	n0		CCC25211.1		ALV09405.1	
N3.HOG0000618	OG0000385	n0		CCC25212.1		ALV09406.1	
N3.HOG0000619	OG0000386	n0		CCC25214.1		ALV09408.1	
N3.HOG0000620	OG0000387	n0		CCC25220.1		ALV09412.1	
N3.HOG0000621	OG0000388	n0		CCC25221.1		ALV12784.1	
N3.HOG0000622	OG0000389	n0		CCC25222.1		ALV09413.1	
N3.HOG0000623	OG0000390	n0		CCC25229.1		ALV09419.1	
N3.HOG0000624	OG0000391	n0		CCC25230.1		ALV09420.1	
N3.HOG0000625	OG0000392	n0		CCC25231.1		ALV12787.1	
N3.HOG0000626	OG0000393	n0		CCC25235.1		ALV12788.1	
N3.HOG0000627	OG0000394	n0		CCC25248.1		ALV09436.1	
N3.HOG0000628	OG0000395	n0		CCC25249.1		ALV09437.1	
N3.HOG0000629	OG0000396	n0		CCC25250.1		ALV09438.1	
N3.HOG0000630	OG0000397	n0		CCC25251.1		ALV09439.1	
N3.HOG0000631	OG0000398	n0		CCC25253.1		ALV09441.1	
N3.HOG0000632	OG0000399	n0		CCC25256.1		ALV09443.1	
N3.HOG0000633	OG0000400	n0		CCC25257.1		ALV09444.1	
N3.HOG0000634	OG0000401	n0		CCC25258.1		ALV09445.1	
N3.HOG0000635	OG0000402	n0		CCC25262.1		ALV09450.1	
N3.HOG0000636	OG0000403	n0		CCC25275.1		ALV09460.1	
N3.HOG0000637	OG0000404	n0		CCC25276.1		ALV09461.1	
N3.HOG0000638	OG0000405	n0		CCC25277.1		ALV12794.1	
N3.HOG0000639	OG0000406	n0		CCC25279.1		ALV09463.1	
N3.HOG0000640	OG0000407	n0		CCC25280.1		ALV09464.1	
N3.HOG0000641	OG0000408	n0		CCC25281.1		ALV09465.1	
N3.HOG0000642	OG0000409	n0		CCC25284.1		ALV09468.1	
N3.HOG0000643	OG0000410	n0		CCC25289.1		ALV09472.1	
N3.HOG0000644	OG0000411	n0		CCC25296.1		ALV09480.1	
N3.HOG0000645	OG0000412	n0		CCC25297.1		ALV09481.1	
N3.HOG0000646	OG0000413	n0		CCC25298.1		ALV09482.1	
N3.HOG0000647	OG0000414	n0		CCC25299.1		ALV09483.1	
N3.HOG0000648	OG0000415	n0		CCC25300.1		ALV09484.1	
N3.HOG0000649	OG0000416	n0		CCC25306.1		ALV09491.1	
N3.HOG0000650	OG0000417	n0		CCC25308.1		ALV09493.1	
N3.HOG0000651	OG0000418	n0		CCC25310.1		ALV09495.1	
N3.HOG0000652	OG0000419	n0		CCC25311.1		ALV09496.1	
N3.HOG0000653	OG0000420	n0		CCC25314.1		ALV09499.1	
N3.HOG0000654	OG0000421	n0		CCC25315.1		ALV09500.1	
N3.HOG0000655	OG0000422	n0		CCC25316.1		ALV09501.1	
N3.HOG0000656	OG0000423	n0		CCC25318.1		ALV09503.1	
N3.HOG0000657	OG0000424	n0		CCC25323.1		ALV09508.1	
N3.HOG0000658	OG0000425	n0		CCC25336.1		ALV09520.1	
N3.HOG0000659	OG0000426	n0		CCC25337.1		ALV09521.1	
N3.HOG0000660	OG0000427	n0		CCC25343.1		ALV09527.1	
N3.HOG0000661	OG0000428	n0		CCC25344.1		ALV09528.1	
N3.HOG0000662	OG0000429	n0		CCC25345.1		ALV09529.1	
N3.HOG0000663	OG0000430	n0		CCC25356.1		ALV09541.1	
N3.HOG0000664	OG0000431	n0		CCC25357.1		ALV09542.1	
N3.HOG0000665	OG0000432	n0		CCC25358.1		ALV09543.1	
N3.HOG0000666	OG0000433	n0		CCC25363.1		ALV09548.1	
N3.HOG0000667	OG0000434	n0		CCC25364.1		ALV09549.1	
N3.HOG0000668	OG0000435	n0		CCC25365.1		ALV09550.1	
N3.HOG0000669	OG0000436	n0		CCC25366.1		ALV09551.1	
N3.HOG0000670	OG0000437	n0		CCC25376.1		ALV09559.1	
N3.HOG0000671	OG0000438	n0		CCC25382.1		ALV09565.1	
N3.HOG0000672	OG0000439	n0		CCC25383.1		ALV09566.1	
N3.HOG0000673	OG0000440	n0		CCC25385.1		ALV09568.1	
N3.HOG0000674	OG0000441	n0		CCC25389.1		ALV09571.1	
N3.HOG0000675	OG0000442	n0		CCC25395.1		ALV09576.1	
N3.HOG0000676	OG0000443	n0		CCC25396.1		ALV09577.1	
N3.HOG0000677	OG0000444	n0		CCC25408.1		ALV09587.1	
N3.HOG0000678	OG0000445	n0		CCC25411.1		ALV09589.1	
N3.HOG0000679	OG0000446	n0		CCC25412.1		ALV09590.1	
N3.HOG0000680	OG0000447	n0		CCC25425.1		ALV09602.1	
N3.HOG0000681	OG0000448	n0		CCC25427.1		ALV09604.1	
N3.HOG0000682	OG0000449	n0		CCC25431.1		ALV09607.1	
N3.HOG0000683	OG0000450	n0		CCC25432.1		ALV09608.1	
N3.HOG0000684	OG0000451	n0		CCC25434.1		ALV09610.1	
N3.HOG0000685	OG0000452	n0		CCC25435.1		ALV09611.1	
N3.HOG0000686	OG0000453	n0		CCC25438.1		ALV09614.1	
N3.HOG0000687	OG0000454	n0		CCC25454.1		ALV12805.1	
N3.HOG0000688	OG0000455	n0		CCC25456.1		ALV09630.1	
N3.HOG0000689	OG0000456	n0		CCC25457.1		ALV09631.1	
N3.HOG0000690	OG0000457	n0		CCC25458.1		ALV09632.1	
N3.HOG0000691	OG0000458	n0		CCC25464.1		ALV09636.1	
N3.HOG0000692	OG0000459	n0		CCC25465.1		ALV09637.1	
N3.HOG0000693	OG0000460	n0		CCC25475.1		ALV09647.1	
N3.HOG0000694	OG0000461	n0		CCC25480.1		ALV09652.1	
N3.HOG0000695	OG0000462	n0		CCC25484.1		ALV09656.1	
N3.HOG0000696	OG0000463	n0		CCC25485.1		ALV09657.1	
N3.HOG0000697	OG0000464	n0		CCC25488.1		ALV09660.1	
N3.HOG0000698	OG0000465	n0		CCC25489.1		ALV09661.1	
N3.HOG0000699	OG0000466	n0		CCC25490.1		ALV09662.1	
N3.HOG0000700	OG0000467	n0		CCC25491.1		ALV09663.1	
N3.HOG0000701	OG0000468	n0		CCC25492.1		ALV09664.1	
N3.HOG0000702	OG0000469	n0		CCC25496.1		ALV09668.1	
N3.HOG0000703	OG0000470	n0		CCC25497.1		ALV09669.1	
N3.HOG0000704	OG0000471	n0		CCC25500.1		ALV09672.1	
N3.HOG0000705	OG0000472	n0		CCC25503.1		ALV09674.1	
N3.HOG0000706	OG0000473	n0		CCC25504.1		ALV09675.1	
N3.HOG0000707	OG0000474	n0		CCC25505.1		ALV09676.1	
N3.HOG0000708	OG0000475	n0		CCC25509.1		ALV09681.1	
N3.HOG0000709	OG0000476	n0		CCC25510.1		ALV12809.1	
N3.HOG0000710	OG0000477	n0		CCC25511.1		ALV09682.1	
N3.HOG0000711	OG0000478	n0		CCC25529.1		ALV09699.1	
N3.HOG0000712	OG0000479	n0		CCC25537.1		ALV09706.1	
N3.HOG0000713	OG0000480	n0		CCC25538.1		ALV09707.1	
N3.HOG0000714	OG0000481	n0		CCC25539.1		ALV09708.1	
N3.HOG0000715	OG0000482	n0		CCC25541.1		ALV09710.1	
N3.HOG0000716	OG0000483	n0		CCC25543.1		ALV09712.1	
N3.HOG0000717	OG0000484	n0		CCC25548.1		ALV09716.1	
N3.HOG0000718	OG0000485	n0		CCC25551.1		ALV09718.1	
N3.HOG0000719	OG0000486	n0		CCC25552.1		ALV12815.1	
N3.HOG0000720	OG0000487	n0		CCC25553.1		ALV09719.1	
N3.HOG0000721	OG0000488	n0		CCC25554.1		ALV09720.1	
N3.HOG0000722	OG0000489	n0		CCC25555.1		ALV09721.1	
N3.HOG0000723	OG0000490	n0		CCC25556.1		ALV09722.1	
N3.HOG0000724	OG0000491	n0		CCC25557.1		ALV09723.1	
N3.HOG0000725	OG0000492	n0		CCC25558.1		ALV09724.1	
N3.HOG0000726	OG0000493	n0		CCC25559.1		ALV12816.1	
N3.HOG0000727	OG0000494	n0		CCC25562.1		ALV12817.1	
N3.HOG0000728	OG0000495	n0		CCC25563.1		ALV09727.1	
N3.HOG0000729	OG0000496	n0		CCC25565.1		ALV09728.1	
N3.HOG0000730	OG0000497	n0		CCC25567.1		ALV12820.1	
N3.HOG0000731	OG0000498	n0		CCC25572.1		ALV12821.1	
N3.HOG0000732	OG0000499	n0		CCC25573.1		ALV09733.1	
N3.HOG0000733	OG0000500	n0		CCC25575.1		ALV09735.1	
N3.HOG0000734	OG0000501	n0		CCC25577.1		ALV09737.1	
N3.HOG0000735	OG0000502	n0		CCC25578.1		ALV09738.1	
N3.HOG0000736	OG0000503	n0		CCC25581.1		ALV09741.1	
N3.HOG0000737	OG0000504	n0		CCC25582.1		ALV09742.1	
N3.HOG0000738	OG0000505	n0		CCC25583.1		ALV09743.1	
N3.HOG0000739	OG0000506	n0		CCC25584.1		ALV12822.1	
N3.HOG0000740	OG0000507	n0		CCC25588.1		ALV09747.1	
N3.HOG0000741	OG0000508	n0		CCC25589.1		ALV12823.1	
N3.HOG0000742	OG0000509	n0		CCC25591.1		ALV12824.1	
N3.HOG0000743	OG0000510	n0		CCC25603.1		ALV09758.1	
N3.HOG0000744	OG0000511	n0		CCC25604.1		ALV09759.1	
N3.HOG0000745	OG0000512	n0		CCC25605.1		ALV12827.1	
N3.HOG0000746	OG0000513	n0		CCC25606.1		ALV09760.1	
N3.HOG0000747	OG0000514	n0		CCC25607.1		ALV12828.1	
N3.HOG0000748	OG0000515	n0		CCC25608.1		ALV09761.1	
N3.HOG0000749	OG0000516	n0		CCC25610.1		ALV09764.1	
N3.HOG0000750	OG0000517	n0		CCC25613.1		ALV09767.1	
N3.HOG0000751	OG0000518	n0		CCC25621.1		ALV09775.1	
N3.HOG0000752	OG0000519	n0		CCC25623.1		ALV09777.1	
N3.HOG0000753	OG0000520	n0		CCC25624.1		ALV09778.1	
N3.HOG0000754	OG0000521	n0		CCC25625.1		ALV09779.1	
N3.HOG0000755	OG0000522	n0		CCC25626.1		ALV09780.1	
N3.HOG0000756	OG0000523	n0		CCC25627.1		ALV09781.1	
N3.HOG0000757	OG0000524	n0		CCC25632.1		ALV12829.1	
N3.HOG0000758	OG0000525	n0		CCC25633.1		ALV09786.1	
N3.HOG0000759	OG0000526	n0		CCC25634.1		ALV09787.1	
N3.HOG0000760	OG0000527	n0		CCC25635.1		ALV09788.1	
N3.HOG0000761	OG0000528	n0		CCC25638.1		ALV09791.1	
N3.HOG0000762	OG0000529	n0		CCC25640.1		ALV09793.1	
N3.HOG0000763	OG0000530	n0		CCC25642.1		ALV09795.1	
N3.HOG0000764	OG0000531	n0		CCC25713.1		ALV09857.1	
N3.HOG0000765	OG0000532	n0		CCC25714.1		ALV09858.1	
N3.HOG0000766	OG0000533	n0		CCC25715.1		ALV09859.1	
N3.HOG0000767	OG0000534	n0		CCC25716.1		ALV09860.1	
N3.HOG0000768	OG0000535	n0		CCC25717.1		ALV09861.1	
N3.HOG0000769	OG0000536	n0		CCC25718.1		ALV09862.1	
N3.HOG0000770	OG0000537	n0		CCC25719.1		ALV09863.1	
N3.HOG0000771	OG0000538	n0		CCC25720.1		ALV09864.1	
N3.HOG0000772	OG0000539	n0		CCC25721.1		ALV09865.1	
N3.HOG0000773	OG0000540	n0		CCC25722.1		ALV09866.1	
N3.HOG0000774	OG0000541	n0		CCC25723.1		ALV09867.1	
N3.HOG0000775	OG0000542	n0		CCC25727.1		ALV09871.1	
N3.HOG0000776	OG0000543	n0		CCC25728.1		ALV09872.1	
